age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,result,sleep_study_interaction,social_mental_interaction,study_mental_interaction,sleep_study_ratio,study_social_ratio
24,1,5.0,2.0,1.0,0,100,5.6,0,2,3,1,3,0,2,28.0,6.0,15.0,0.5283018867924528,0.7142857142857143
18,1,3.0,2.0,1.0,0,65,7.0,0,0,1,1,7,1,2,21.0,14.0,21.0,0.7,0.6
21,1,3.0,3.0,1.0,0,100,7.0,0,0,4,1,5,0,2,21.0,15.0,15.0,0.7,0.5
23,1,6.0,3.0,1.0,0,90,6.0,0,1,3,0,3,0,3,36.0,9.0,18.0,0.5,0.6666666666666666
22,1,2.0,5.0,4.0,0,70,4.0,0,0,2,1,1,0,1,8.0,5.0,2.0,0.6666666666666666,0.2857142857142857
25,1,1.5,4.5,2.5,0,100,7.5,0,0,2,1,8,0,3,11.25,36.0,12.0,0.8333333333333334,0.25
25,1,2.0,1.5,1.0,0,90,7.0,0,0,2,0,9,1,3,14.0,13.5,18.0,0.7777777777777778,0.5714285714285714
24,0,1.0,3.0,2.0,0,100,8.0,0,0,2,1,5,0,3,8.0,15.0,5.0,0.8888888888888888,0.25
20,1,5.0,2.0,0.0,1,100,4.0,0,1,2,1,5,1,3,20.0,10.0,25.0,0.4444444444444444,0.7142857142857143
20,0,1.0,7.5,5.0,0,100,6.5,1,1,1,1,2,1,0,6.5,15.0,2.0,0.8666666666666667,0.11764705882352941
19,1,4.0,5.0,2.0,0,90,8.0,0,1,3,1,5,0,0,32.0,25.0,20.0,0.6666666666666666,0.4444444444444444
24,1,4.0,3.0,2.0,0,95,8.0,1,0,1,1,10,0,0,32.0,30.0,40.0,0.6666666666666666,0.5714285714285714
24,0,3.0,2.5,0.0,0,100,7.5,1,0,4,2,6,1,3,22.5,15.0,18.0,0.7142857142857143,0.5454545454545454
24,0,0.5,3.0,1.0,1,45,7.0,0,0,2,2,9,1,0,3.5,27.0,4.5,0.9333333333333333,0.14285714285714285
21,0,1.0,6.0,4.0,0,60,4.0,0,0,3,0,2,0,0,4.0,12.0,2.0,0.8,0.14285714285714285
23,1,2.0,7.0,3.0,0,70,5.0,0,1,3,1,1,1,1,10.0,7.0,2.0,0.7142857142857143,0.2222222222222222
22,1,5.0,3.0,2.0,0,90,6.0,1,2,3,1,3,1,2,30.0,9.0,15.0,0.5454545454545454,0.625
24,1,5.0,3.0,2.0,0,95,6.0,1,2,3,1,4,1,2,30.0,12.0,20.0,0.5454545454545454,0.625
20,0,7.0,2.0,1.0,0,100,7.0,1,3,3,1,7,1,3,49.0,14.0,49.0,0.5,0.7777777777777778
20,0,1.0,5.0,4.0,0,60,4.0,0,0,3,0,0,0,0,4.0,0.0,0.0,0.8,0.16666666666666666
25,1,7.0,2.0,1.0,1,80,6.0,1,0,2,1,2,0,2,42.0,4.0,14.0,0.46153846153846156,0.7777777777777778
23,1,6.0,3.0,2.0,0,90,7.0,1,2,3,1,4,1,3,42.0,12.0,24.0,0.5384615384615384,0.6666666666666666
25,1,6.0,0.0,0.0,0,100,7.0,1,2,3,1,9,1,3,42.0,0.0,54.0,0.5384615384615384,1.0
24,1,5.0,3.0,2.0,1,90,6.0,1,1,2,0,4,1,2,30.0,12.0,20.0,0.5454545454545454,0.625
23,1,6.0,2.0,1.0,1,90,7.0,1,0,3,1,5,1,3,42.0,10.0,30.0,0.5384615384615384,0.75
21,1,1.0,7.0,3.0,0,80,5.0,0,0,3,1,2,0,1,5.0,14.0,2.0,0.8333333333333334,0.125
22,1,1.0,8.0,3.0,0,70,4.0,0,0,1,0,1,0,1,4.0,8.0,1.0,0.8,0.1111111111111111
21,0,4.0,3.0,4.0,0,90,7.0,1,1,1,1,5,0,3,28.0,15.0,20.0,0.6363636363636364,0.5714285714285714
20,0,5.0,4.0,1.0,0,90,7.0,1,2,2,1,5,0,3,35.0,20.0,25.0,0.5833333333333334,0.5555555555555556
22,0,6.0,2.0,3.0,0,95,7.0,1,3,1,2,8,1,3,42.0,16.0,48.0,0.5384615384615384,0.75
23,1,5.0,3.0,2.0,0,80,6.0,2,5,3,2,7,1,3,30.0,21.0,35.0,0.5454545454545454,0.625
24,1,2.0,7.0,4.0,0,70,5.0,0,0,2,0,1,1,1,10.0,7.0,2.0,0.7142857142857143,0.2222222222222222
23,1,4.0,5.0,3.0,1,70,6.0,1,2,2,1,5,0,2,24.0,25.0,20.0,0.6,0.4444444444444444
21,0,5.0,4.0,3.0,0,80,7.0,1,3,3,1,7,0,2,35.0,28.0,35.0,0.5833333333333334,0.5555555555555556
23,0,1.0,8.0,4.0,0,75,6.0,0,0,4,0,1,0,0,6.0,8.0,1.0,0.8571428571428571,0.1111111111111111
23,1,5.0,4.0,3.0,1,80,6.0,1,4,4,1,6,1,2,30.0,24.0,30.0,0.5454545454545454,0.5555555555555556
21,1,7.0,4.0,3.0,0,80,6.0,1,2,1,1,4,0,3,42.0,16.0,28.0,0.46153846153846156,0.6363636363636364
19,0,10.0,1.0,0.0,0,95,7.0,2,5,3,2,9,0,3,70.0,9.0,90.0,0.4117647058823529,0.9090909090909091
20,1,1.0,5.0,4.0,0,80,6.0,1,1,4,1,3,0,2,6.0,15.0,3.0,0.8571428571428571,0.16666666666666666
19,1,2.0,6.0,3.0,0,80,4.0,0,1,1,0,1,0,1,8.0,6.0,2.0,0.6666666666666666,0.25
18,0,8.0,2.0,0.0,0,90,7.0,2,4,2,2,9,1,3,56.0,18.0,72.0,0.4666666666666667,0.8
23,1,6.0,5.0,4.0,0,75,7.0,1,5,2,1,5,1,3,42.0,25.0,30.0,0.5384615384615384,0.5454545454545454
22,1,8.0,3.0,4.0,0,80,6.0,1,2,1,1,6,1,3,48.0,18.0,48.0,0.42857142857142855,0.7272727272727273
19,0,7.0,2.0,4.0,0,85,7.0,2,4,4,2,8,1,3,49.0,16.0,56.0,0.5,0.7777777777777778
18,0,3.0,6.0,5.0,0,75,5.0,0,0,2,0,1,0,1,15.0,6.0,3.0,0.625,0.3333333333333333
21,0,7.0,3.0,3.0,0,80,7.0,1,2,1,1,4,0,3,49.0,12.0,28.0,0.5,0.7
22,1,2.0,7.0,4.0,0,75,6.0,0,1,2,1,2,0,0,12.0,14.0,4.0,0.75,0.2222222222222222
25,1,6.0,3.0,2.0,0,90,6.0,1,3,4,1,4,0,2,36.0,12.0,24.0,0.5,0.6666666666666666
24,1,4.0,5.0,3.0,0,75,6.0,1,0,2,1,4,0,1,24.0,20.0,16.0,0.6,0.4444444444444444
22,1,2.0,7.0,4.0,0,90,6.0,0,0,4,0,0,0,0,12.0,0.0,0.0,0.75,0.2222222222222222
22,0,8.0,2.0,2.0,0,90,6.0,1,1,1,1,8,1,3,48.0,16.0,64.0,0.42857142857142855,0.8
21,1,5.0,3.0,3.0,0,75,7.0,1,1,1,1,1,0,2,35.0,3.0,5.0,0.5833333333333334,0.625
23,1,6.0,3.0,2.0,0,81,7.0,1,2,4,1,7,0,3,42.0,21.0,42.0,0.5384615384615384,0.6666666666666666
21,1,6.0,2.0,3.0,0,78,7.0,1,1,1,1,6,0,2,42.0,12.0,36.0,0.5384615384615384,0.75
22,1,8.0,1.0,1.0,0,85,6.0,1,1,4,1,8,1,3,48.0,8.0,64.0,0.42857142857142855,0.8888888888888888
22,1,7.0,2.0,2.0,0,80,7.0,1,2,4,1,6,0,2,49.0,12.0,42.0,0.5,0.7777777777777778
21,0,8.0,2.0,1.0,0,80,7.0,1,1,1,1,7,1,2,56.0,14.0,56.0,0.4666666666666667,0.8
21,0,7.0,2.0,1.0,0,80,7.0,1,1,4,1,7,0,2,49.0,14.0,49.0,0.5,0.7777777777777778
21,0,8.0,1.0,1.0,0,85,6.0,1,1,1,1,8,1,3,48.0,8.0,64.0,0.42857142857142855,0.8888888888888888
23,0,7.0,3.0,2.0,0,80,6.0,1,0,1,1,6,0,2,42.0,18.0,42.0,0.46153846153846156,0.7
22,0,6.0,2.0,2.0,0,79,6.0,1,1,4,1,6,0,2,36.0,12.0,36.0,0.5,0.75
22,1,6.0,2.0,3.0,0,75,6.0,1,1,4,1,6,0,2,36.0,12.0,36.0,0.5,0.75
23,1,5.0,3.0,3.0,0,75,8.0,1,1,1,1,5,0,2,40.0,15.0,25.0,0.6153846153846154,0.625
22,1,7.0,2.0,2.0,0,80,6.0,1,1,4,1,7,1,3,42.0,14.0,49.0,0.46153846153846156,0.7777777777777778
22,1,6.0,3.0,1.0,0,82,7.0,1,1,1,1,6,0,3,42.0,18.0,36.0,0.5384615384615384,0.6666666666666666
21,1,7.0,2.0,1.0,0,78,6.0,1,1,4,1,7,1,2,42.0,14.0,49.0,0.46153846153846156,0.7777777777777778
21,0,8.0,1.0,1.0,0,89,7.0,1,1,4,1,8,1,3,56.0,8.0,64.0,0.4666666666666667,0.8888888888888888
21,1,8.0,1.0,1.0,0,85,7.0,1,1,4,1,7,1,3,56.0,7.0,56.0,0.4666666666666667,0.8888888888888888
