age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,internet_quality,mental_health_rating,result,sleep_study_interaction,social_mental_interaction,study_mental_interaction,sleep_study_ratio,study_social_ratio
23,0.0,1.2,1.1,85.0,8.0,1,6,1,8,1,0.0,9.6,0.0,1.0,0.0
20,6.9,2.8,2.3,97.3,4.6,2,6,1,8,3,31.74,22.4,55.2,0.39999999999999997,0.7113402061855671
21,1.4,3.1,1.3,94.8,8.0,0,1,0,1,0,11.2,3.1,1.4,0.851063829787234,0.3111111111111111
23,1.0,3.9,1.0,71.0,9.2,0,4,2,1,0,9.2,3.9,1.0,0.9019607843137255,0.2040816326530612
19,5.0,4.4,0.5,90.9,4.9,1,3,2,1,2,24.5,4.4,5.0,0.494949494949495,0.5319148936170213
24,7.2,1.3,0.0,82.9,7.4,1,1,1,4,3,53.28,5.2,28.8,0.5068493150684932,0.8470588235294118
21,5.6,1.5,1.4,85.8,6.5,2,2,0,4,3,36.4,6.0,22.4,0.5371900826446281,0.7887323943661971
21,4.3,1.0,2.0,77.7,4.6,1,0,1,8,2,19.779999999999998,8.0,34.4,0.5168539325842697,0.8113207547169812
23,4.4,2.2,1.7,100.0,7.1,2,3,2,1,2,31.240000000000002,2.2,4.4,0.6173913043478261,0.6666666666666666
18,4.8,3.1,1.3,95.4,7.5,2,5,2,10,3,36.0,31.0,48.0,0.6097560975609756,0.6075949367088607
19,4.6,3.7,0.8,77.6,5.8,1,1,2,3,2,26.679999999999996,11.100000000000001,13.799999999999999,0.5576923076923077,0.5542168674698794
23,3.9,2.4,2.5,71.7,7.9,1,2,1,1,2,30.810000000000002,2.4,3.9,0.6694915254237288,0.6190476190476191
19,3.7,2.1,0.4,81.1,4.5,1,1,2,9,2,16.650000000000002,18.900000000000002,33.300000000000004,0.5487804878048781,0.6379310344827586
19,3.4,2.7,2.7,89.3,4.7,1,4,2,10,2,15.98,27.0,34.0,0.5802469135802469,0.5573770491803279
24,2.4,1.5,0.7,87.4,6.7,0,6,1,9,2,16.08,13.5,21.599999999999998,0.7362637362637363,0.6153846153846154
21,3.1,5.0,1.0,97.5,6.5,2,6,1,7,2,20.150000000000002,35.0,21.7,0.6770833333333334,0.3827160493827161
20,1.0,0.6,0.2,92.9,5.6,0,3,0,8,1,5.6,4.8,8.0,0.8484848484848485,0.625
24,3.4,2.7,1.2,94.7,7.5,0,0,1,1,2,25.5,2.7,3.4,0.6880733944954128,0.5573770491803279
24,2.0,4.9,2.9,88.3,7.1,2,2,2,5,1,14.2,24.5,10.0,0.7802197802197802,0.2898550724637681
19,1.8,2.5,2.4,71.1,7.5,1,1,1,2,1,13.5,5.0,3.6,0.8064516129032258,0.4186046511627907
22,3.8,2.3,2.9,83.0,6.4,2,3,2,1,1,24.32,2.3,3.8,0.627450980392157,0.6229508196721312
21,5.6,2.1,2.4,95.6,7.2,1,1,2,3,3,40.32,6.300000000000001,16.799999999999997,0.5625,0.7272727272727273
18,4.9,2.3,0.6,84.5,6.0,1,3,1,7,3,29.400000000000002,16.099999999999998,34.300000000000004,0.5504587155963303,0.6805555555555556
24,1.1,4.1,1.4,90.0,9.0,1,6,2,1,1,9.9,4.1,1.1,0.8910891089108911,0.2115384615384616
20,2.0,0.0,0.9,81.8,5.5,1,4,1,2,1,11.0,0.0,4.0,0.7333333333333333,1.0
22,4.9,4.3,3.3,74.7,9.0,1,1,1,2,2,44.1,8.6,9.8,0.6474820143884892,0.532608695652174
22,2.0,0.8,0.5,83.8,6.5,2,4,0,4,2,13.0,3.2,8.0,0.7647058823529411,0.7142857142857143
18,3.2,2.2,2.8,88.1,4.8,1,5,1,3,2,15.36,6.6000000000000005,9.600000000000001,0.6,0.5925925925925926
24,4.3,2.0,2.8,78.4,8.1,2,5,0,3,3,34.83,6.0,12.899999999999999,0.653225806451613,0.6825396825396826
20,2.0,3.2,3.8,82.6,6.7,0,6,0,10,2,13.4,32.0,20.0,0.7701149425287357,0.3846153846153846
21,3.7,0.6,1.3,75.6,7.5,1,2,1,5,2,27.75,3.0,18.5,0.6696428571428572,0.8604651162790699
17,1.5,3.1,2.6,96.2,8.0,1,4,1,3,1,12.0,9.3,4.5,0.8421052631578947,0.32608695652173914
20,2.6,4.9,4.3,82.1,6.9,2,3,2,7,1,17.94,34.300000000000004,18.2,0.7263157894736842,0.3466666666666667
18,4.0,0.9,1.1,99.5,5.8,0,2,1,5,2,23.2,4.5,20.0,0.5918367346938775,0.8163265306122448
22,1.1,2.7,0.1,100.0,7.7,1,1,2,4,1,8.47,10.8,4.4,0.875,0.2894736842105263
21,4.2,1.7,0.0,84.2,6.5,2,1,1,3,2,27.3,5.1,12.600000000000001,0.6074766355140188,0.711864406779661
20,3.5,3.0,2.6,74.9,7.3,1,3,2,4,2,25.55,12.0,14.0,0.6759259259259258,0.5384615384615384
17,4.3,2.5,0.0,64.1,3.9,2,0,1,2,1,16.77,5.0,8.6,0.475609756097561,0.6323529411764706
17,3.8,1.7,1.4,70.3,7.0,0,0,2,1,1,26.599999999999998,1.7,3.8,0.6481481481481481,0.6909090909090909
19,5.5,3.1,2.3,71.3,5.7,2,1,1,3,3,31.35,9.3,16.5,0.5089285714285715,0.6395348837209303
19,3.7,4.7,2.0,98.8,8.5,2,6,2,2,2,31.450000000000003,9.4,7.4,0.6967213114754098,0.44047619047619047
23,2.9,2.3,2.3,86.2,7.2,2,6,1,1,2,20.88,2.3,2.9,0.712871287128713,0.5576923076923077
18,3.7,3.4,2.0,88.9,6.8,1,3,0,1,2,25.16,3.4,3.7,0.6476190476190476,0.5211267605633804
24,4.3,0.9,3.2,62.8,7.1,0,0,2,2,2,30.529999999999998,1.8,8.6,0.6228070175438597,0.8269230769230769
20,3.6,1.4,0.8,73.0,5.3,2,4,0,9,2,19.08,12.6,32.4,0.5955056179775281,0.72
20,3.6,3.1,1.1,93.9,8.4,1,1,1,5,2,30.240000000000002,15.5,18.0,0.7000000000000001,0.5373134328358209
24,2.4,4.3,1.0,87.9,8.9,0,5,1,9,2,21.36,38.699999999999996,21.599999999999998,0.7876106194690266,0.35820895522388063
23,2.5,2.9,2.7,83.5,7.0,2,4,2,8,1,17.5,23.2,20.0,0.7368421052631579,0.4629629629629629
22,1.4,2.1,2.8,90.6,8.4,1,3,2,6,1,11.76,12.600000000000001,8.399999999999999,0.8571428571428571,0.39999999999999997
22,6.1,2.5,2.3,100.0,5.8,0,5,1,1,3,35.379999999999995,2.5,6.1,0.4873949579831933,0.7093023255813954
23,1.6,1.0,3.1,82.8,5.5,1,4,2,10,2,8.8,10.0,16.0,0.7746478873239437,0.6153846153846154
22,2.5,3.2,0.5,85.7,6.5,0,0,1,5,1,16.25,16.0,12.5,0.7222222222222222,0.43859649122807015
19,2.4,3.6,3.6,86.9,7.0,1,6,1,1,1,16.8,3.6,2.4,0.7446808510638298,0.39999999999999997
20,4.8,2.0,3.5,100.0,6.0,2,0,2,7,2,28.799999999999997,14.0,33.6,0.5555555555555555,0.7058823529411765
23,3.1,1.9,2.6,64.0,7.1,1,5,2,10,2,22.009999999999998,19.0,31.0,0.696078431372549,0.62
20,5.4,2.8,3.8,91.8,6.9,2,2,2,8,3,37.260000000000005,22.4,43.2,0.5609756097560975,0.6585365853658538
24,2.5,2.0,0.0,83.9,5.3,2,6,1,8,2,13.25,16.0,20.0,0.6794871794871795,0.5555555555555556
17,3.9,2.4,1.2,90.7,7.1,2,1,1,7,2,27.689999999999998,16.8,27.3,0.6454545454545454,0.6190476190476191
19,2.2,5.0,1.0,78.4,7.5,0,5,1,2,1,16.5,10.0,4.4,0.7731958762886598,0.3055555555555556
21,6.7,2.2,2.6,84.5,6.7,2,3,1,5,3,44.89,11.0,33.5,0.5,0.7528089887640449
19,1.7,2.1,0.6,92.1,7.9,1,1,1,4,2,13.43,8.4,6.8,0.8229166666666667,0.4473684210526316
23,4.0,1.7,2.6,100.0,5.0,1,4,2,5,2,20.0,8.5,20.0,0.5555555555555556,0.7017543859649122
21,4.5,3.4,3.3,93.1,7.1,2,6,2,10,3,31.95,34.0,45.0,0.6120689655172413,0.5696202531645569
17,4.1,2.3,2.6,76.5,5.1,1,3,1,9,2,20.909999999999997,20.7,36.9,0.5543478260869565,0.640625
23,3.2,1.7,2.1,80.8,5.2,2,3,0,4,2,16.64,6.8,12.8,0.6190476190476191,0.6530612244897959
18,3.3,4.1,0.7,80.5,5.7,0,0,2,8,2,18.81,32.8,26.4,0.6333333333333333,0.44594594594594594
20,3.6,4.2,0.9,67.0,5.4,2,4,1,8,2,19.44,33.6,28.8,0.6000000000000001,0.4615384615384615
17,3.3,1.8,3.2,81.7,5.8,0,0,2,2,2,19.139999999999997,3.6,6.6,0.6373626373626373,0.6470588235294118
20,4.9,0.3,2.7,92.3,6.2,2,0,0,6,3,30.380000000000003,1.7999999999999998,29.400000000000002,0.5585585585585585,0.9423076923076923
22,6.8,3.7,1.8,72.3,7.5,0,6,1,5,3,51.0,18.5,34.0,0.5244755244755245,0.6476190476190476
18,2.7,1.7,1.3,95.5,6.1,0,2,2,2,1,16.47,3.4,5.4,0.6931818181818181,0.6136363636363636
18,1.4,3.4,0.0,89.9,4.6,1,0,0,10,1,6.4399999999999995,34.0,14.0,0.7666666666666666,0.2916666666666667
17,3.4,0.1,0.6,77.7,7.9,1,1,1,4,2,26.86,0.4,13.6,0.6991150442477876,0.9714285714285714
18,7.4,3.6,3.9,83.6,5.5,1,3,1,7,3,40.7,25.2,51.800000000000004,0.4263565891472868,0.6727272727272727
21,2.3,1.0,0.4,100.0,6.4,1,6,2,1,2,14.719999999999999,1.0,2.3,0.7356321839080461,0.6969696969696969
18,6.0,3.4,2.0,92.3,7.0,1,0,2,9,3,42.0,30.599999999999998,54.0,0.5384615384615384,0.6382978723404255
20,6.0,2.5,2.9,85.1,6.7,0,5,1,10,3,40.2,25.0,60.0,0.5275590551181103,0.7058823529411765
20,2.7,1.4,0.4,82.6,7.8,1,1,0,1,1,21.060000000000002,1.4,2.7,0.7428571428571429,0.6585365853658538
23,4.4,2.0,2.0,85.8,7.1,2,4,2,5,2,31.240000000000002,10.0,22.0,0.6173913043478261,0.6875
20,5.9,3.3,2.8,79.9,5.5,2,3,1,7,3,32.45,23.099999999999998,41.300000000000004,0.4824561403508772,0.641304347826087
23,2.9,2.6,1.8,64.0,9.1,2,6,2,8,2,26.389999999999997,20.8,23.2,0.7583333333333333,0.5272727272727272
20,3.2,3.2,5.0,100.0,6.7,2,5,0,2,1,21.44,6.4,6.4,0.6767676767676768,0.5
21,2.6,4.9,0.0,86.6,6.3,1,6,0,4,2,16.38,19.6,10.4,0.7078651685393258,0.3466666666666667
24,2.0,0.6,3.0,89.0,7.7,0,6,2,2,1,15.4,1.2,4.0,0.7938144329896908,0.7692307692307692
23,2.5,4.4,1.6,84.4,6.8,1,5,1,4,1,17.0,17.6,10.0,0.7311827956989246,0.36231884057971014
19,1.7,2.6,2.6,77.6,7.0,2,4,2,6,1,11.9,15.600000000000001,10.2,0.8045977011494253,0.3953488372093023
22,3.6,1.4,2.3,83.1,9.5,2,5,0,6,2,34.2,8.399999999999999,21.6,0.7251908396946565,0.72
17,2.3,0.9,1.0,69.0,6.2,1,1,1,2,1,14.26,1.8,4.6,0.7294117647058824,0.71875
20,3.9,2.3,2.1,100.0,6.1,0,6,2,4,2,23.79,9.2,15.6,0.61,0.6290322580645162
18,1.2,3.6,0.0,72.7,6.6,0,4,1,4,1,7.919999999999999,14.4,4.8,0.8461538461538461,0.25
24,4.0,2.3,2.5,74.7,7.8,1,6,2,1,2,31.2,2.3,4.0,0.6610169491525423,0.6349206349206349
20,4.8,4.3,2.1,80.6,4.7,1,5,1,2,2,22.56,8.6,9.6,0.4947368421052632,0.5274725274725275
18,0.5,0.8,2.5,97.9,4.1,0,4,2,3,1,2.05,2.4000000000000004,1.5,0.8913043478260869,0.3846153846153846
22,4.1,2.5,3.0,85.1,5.8,2,4,2,5,2,23.779999999999998,12.5,20.5,0.585858585858586,0.6212121212121212
22,5.3,1.0,2.2,72.6,4.5,1,0,1,8,3,23.849999999999998,8.0,42.4,0.4591836734693877,0.8412698412698413
22,1.7,2.9,2.0,97.5,6.0,2,0,2,6,1,10.2,17.4,10.2,0.7792207792207793,0.3695652173913044
18,6.0,3.6,0.8,92.3,7.1,2,0,2,3,3,42.599999999999994,10.8,18.0,0.5419847328244275,0.625
20,4.1,2.0,1.0,90.4,5.4,2,5,1,6,3,22.14,12.0,24.599999999999998,0.5684210526315789,0.6721311475409836
22,2.4,0.0,3.1,92.2,4.8,2,3,2,7,2,11.52,0.0,16.8,0.6666666666666667,1.0
21,3.4,2.7,3.4,100.0,6.6,2,1,2,6,2,22.439999999999998,16.200000000000003,20.4,0.6599999999999999,0.5573770491803279
23,4.3,3.0,1.5,100.0,7.5,2,5,1,10,3,32.25,30.0,43.0,0.635593220338983,0.589041095890411
18,3.6,3.0,1.9,78.1,4.5,2,6,1,6,2,16.2,18.0,21.6,0.5555555555555556,0.5454545454545455
18,4.3,4.0,0.8,100.0,7.5,1,0,1,1,2,32.25,4.0,4.3,0.635593220338983,0.5180722891566264
20,2.1,1.2,3.1,88.8,7.5,2,4,1,3,1,15.75,3.5999999999999996,6.300000000000001,0.78125,0.6363636363636365
18,3.8,3.3,2.5,90.0,7.6,2,5,2,7,2,28.88,23.099999999999998,26.599999999999998,0.6666666666666667,0.5352112676056338
18,1.4,3.9,3.9,68.1,8.0,2,4,1,4,0,11.2,15.6,5.6,0.851063829787234,0.2641509433962264
22,3.3,0.4,0.8,83.3,9.1,2,6,2,4,3,30.029999999999998,1.6,13.2,0.7338709677419355,0.8918918918918919
20,2.1,2.9,1.4,76.9,6.1,1,4,1,7,2,12.81,20.3,14.700000000000001,0.7439024390243902,0.42000000000000004
22,2.4,1.9,2.1,93.3,6.6,0,4,1,9,2,15.839999999999998,17.099999999999998,21.599999999999998,0.7333333333333333,0.5581395348837209
23,5.4,2.4,2.5,95.7,6.0,1,2,2,2,2,32.400000000000006,4.8,10.8,0.5263157894736842,0.6923076923076923
24,5.1,2.9,1.6,64.3,6.5,1,3,1,9,3,33.15,26.099999999999998,45.9,0.560344827586207,0.6375
23,4.4,1.9,0.8,84.8,8.3,2,1,1,3,2,36.52,5.699999999999999,13.200000000000001,0.6535433070866141,0.6984126984126984
24,1.9,1.7,2.8,96.2,4.9,1,1,0,6,1,9.31,10.2,11.399999999999999,0.7205882352941176,0.5277777777777778
22,3.0,2.5,2.6,83.1,5.5,1,0,1,4,1,16.5,10.0,12.0,0.6470588235294118,0.5454545454545454
23,5.3,1.2,0.8,92.3,8.2,1,2,1,1,3,43.459999999999994,1.2,5.3,0.6074074074074074,0.8153846153846154
20,3.7,1.2,3.3,88.5,7.7,0,5,2,9,3,28.490000000000002,10.799999999999999,33.300000000000004,0.6754385964912281,0.7551020408163265
17,7.0,3.3,3.1,88.4,6.1,2,5,1,6,3,42.699999999999996,19.799999999999997,42.0,0.46564885496183206,0.6796116504854368
22,4.1,1.1,1.9,82.3,7.5,2,1,2,8,3,30.749999999999996,8.8,32.8,0.646551724137931,0.7884615384615385
24,3.8,3.3,1.9,72.8,6.9,0,3,2,2,1,26.22,6.6,7.6,0.6448598130841122,0.5352112676056338
21,3.0,3.1,2.4,73.8,8.3,1,4,1,7,2,24.900000000000002,21.7,21.0,0.7345132743362832,0.49180327868852464
24,3.7,0.4,0.9,92.1,6.6,1,6,1,6,3,24.419999999999998,2.4000000000000004,22.200000000000003,0.6407766990291262,0.9024390243902438
21,3.3,1.7,1.8,85.2,7.7,0,0,2,2,2,25.41,3.4,6.6,0.7000000000000001,0.6599999999999999
18,4.6,3.9,0.0,83.6,9.7,0,3,2,2,3,44.61999999999999,7.8,9.2,0.6783216783216783,0.5411764705882353
23,4.9,1.3,2.8,80.8,7.2,2,1,1,4,2,35.28,5.2,19.6,0.5950413223140495,0.7903225806451614
21,2.3,1.9,0.1,81.9,6.6,1,2,1,4,2,15.179999999999998,7.6,9.2,0.7415730337078652,0.5476190476190477
24,1.5,3.1,3.5,95.5,7.4,1,0,1,3,1,11.100000000000001,9.3,4.5,0.8314606741573034,0.32608695652173914
18,0.7,3.4,1.4,81.6,6.1,0,1,0,8,1,4.27,27.2,5.6,0.8970588235294117,0.17073170731707318
17,4.3,2.2,1.6,71.6,9.4,2,5,2,7,3,40.42,15.400000000000002,30.099999999999998,0.6861313868613139,0.6615384615384615
20,1.8,1.8,1.1,92.4,6.7,2,0,2,2,1,12.06,3.6,3.6,0.788235294117647,0.5
20,0.3,4.2,1.5,83.0,6.2,2,1,1,3,0,1.8599999999999999,12.600000000000001,0.8999999999999999,0.9538461538461539,0.06666666666666667
20,4.1,4.6,3.4,85.3,5.5,0,5,2,10,3,22.549999999999997,46.0,41.0,0.5729166666666667,0.47126436781609193
21,7.2,3.7,0.0,100.0,7.8,2,6,2,9,3,56.16,33.300000000000004,64.8,0.52,0.6605504587155964
17,3.5,2.6,3.2,84.8,7.5,1,5,1,5,2,26.25,13.0,17.5,0.6818181818181818,0.5737704918032788
21,4.8,1.5,2.2,87.9,5.9,1,4,0,2,2,28.32,3.0,9.6,0.5514018691588786,0.7619047619047619
23,3.6,1.5,0.5,73.2,7.2,1,2,2,3,2,25.92,4.5,10.8,0.6666666666666666,0.7058823529411765
21,3.4,3.1,0.6,82.8,4.7,1,4,2,8,2,15.98,24.8,27.2,0.5802469135802469,0.5230769230769231
17,4.9,3.0,3.6,91.1,6.7,2,1,2,4,2,32.830000000000005,12.0,19.6,0.5775862068965517,0.620253164556962
17,3.1,4.2,0.8,69.4,7.0,2,6,0,2,2,21.7,8.4,6.2,0.6930693069306931,0.4246575342465753
23,3.9,3.3,0.5,87.0,8.5,1,3,1,2,2,33.15,6.6,7.8,0.6854838709677419,0.5416666666666667
17,4.0,0.7,3.1,86.0,5.6,2,6,0,6,3,22.4,4.199999999999999,24.0,0.5833333333333334,0.851063829787234
24,2.5,3.8,2.2,85.4,5.0,2,6,2,8,2,12.5,30.4,20.0,0.6666666666666666,0.39682539682539686
17,5.0,1.3,0.8,95.4,5.4,2,6,2,7,3,27.0,9.1,35.0,0.5192307692307693,0.7936507936507937
20,3.2,2.0,2.0,88.3,4.9,1,4,0,4,2,15.680000000000001,8.0,12.8,0.6049382716049382,0.6153846153846154
24,2.4,2.8,0.7,99.8,8.1,1,3,2,2,2,19.439999999999998,5.6,4.8,0.7714285714285714,0.46153846153846156
24,4.3,4.9,3.0,75.1,8.4,1,5,2,9,2,36.12,44.1,38.699999999999996,0.6614173228346457,0.4673913043478261
23,2.2,6.2,3.0,86.4,6.9,2,1,2,4,1,15.180000000000001,24.8,8.8,0.7582417582417582,0.2619047619047619
19,3.5,3.2,2.4,85.8,8.0,0,2,2,9,2,28.0,28.8,31.5,0.6956521739130435,0.5223880597014925
19,3.5,2.3,2.2,74.3,6.7,1,3,0,5,2,23.45,11.5,17.5,0.6568627450980393,0.603448275862069
17,5.1,3.1,3.7,94.6,6.4,1,1,2,7,3,32.64,21.7,35.699999999999996,0.5565217391304348,0.6219512195121951
24,4.2,3.6,1.8,100.0,6.1,1,3,0,5,2,25.62,18.0,21.0,0.5922330097087378,0.5384615384615384
19,3.5,2.1,0.5,84.8,6.1,2,4,1,2,2,21.349999999999998,4.2,7.0,0.6354166666666666,0.625
19,4.7,4.7,2.3,90.1,4.6,2,1,2,6,2,21.619999999999997,28.200000000000003,28.200000000000003,0.49462365591397844,0.5
17,5.6,2.8,4.1,85.8,6.8,2,4,2,7,3,38.08,19.599999999999998,39.199999999999996,0.5483870967741936,0.6666666666666667
19,4.3,3.1,0.7,77.9,6.5,2,0,1,6,3,27.95,18.6,25.799999999999997,0.6018518518518519,0.581081081081081
21,3.5,3.3,1.4,66.8,7.4,1,1,2,3,2,25.900000000000002,9.899999999999999,10.5,0.6788990825688074,0.5147058823529412
18,1.5,3.0,2.3,77.9,6.6,1,3,2,10,1,9.899999999999999,30.0,15.0,0.8148148148148148,0.3333333333333333
23,1.9,3.5,1.7,71.1,6.3,1,0,2,8,1,11.969999999999999,28.0,15.2,0.7682926829268293,0.3518518518518518
18,3.0,1.8,0.7,100.0,5.5,0,4,0,3,1,16.5,5.4,9.0,0.6470588235294118,0.625
17,2.6,1.8,3.0,83.8,6.6,1,4,2,5,2,17.16,9.0,13.0,0.717391304347826,0.5909090909090908
20,3.2,1.2,4.4,81.5,7.4,2,3,1,9,2,23.680000000000003,10.799999999999999,28.8,0.6981132075471698,0.7272727272727273
23,3.6,3.0,2.0,93.9,5.1,1,0,1,5,2,18.36,15.0,18.0,0.5862068965517242,0.5454545454545455
17,4.3,3.4,0.8,73.8,6.6,2,6,1,7,2,28.38,23.8,30.099999999999998,0.6055045871559633,0.5584415584415585
24,3.4,3.0,0.1,77.3,6.8,1,5,1,7,3,23.119999999999997,21.0,23.8,0.6666666666666667,0.53125
20,4.2,4.5,2.1,85.7,5.6,0,2,2,5,2,23.52,22.5,21.0,0.5714285714285714,0.48275862068965525
18,3.6,2.5,3.0,95.3,5.8,0,3,1,2,2,20.88,5.0,7.2,0.6170212765957447,0.5901639344262296
17,0.5,3.3,2.3,90.0,6.8,1,4,2,5,0,3.4,16.5,2.5,0.9315068493150684,0.13157894736842105
24,2.1,1.2,1.8,87.5,5.1,1,1,1,7,2,10.709999999999999,8.4,14.700000000000001,0.7083333333333334,0.6363636363636365
23,3.3,2.0,1.2,85.8,6.9,0,0,2,7,2,22.77,14.0,23.099999999999998,0.6764705882352942,0.6226415094339622
23,1.7,3.3,0.6,89.0,5.4,1,5,2,4,1,9.18,13.2,6.8,0.7605633802816901,0.33999999999999997
22,4.4,3.5,2.7,87.0,7.8,1,2,2,1,2,34.32,3.5,4.4,0.639344262295082,0.5569620253164557
24,5.8,2.1,2.8,74.7,9.3,1,1,2,6,3,53.940000000000005,12.600000000000001,34.8,0.6158940397350994,0.7341772151898733
21,5.3,2.4,0.1,85.5,5.5,2,0,2,3,3,29.15,7.199999999999999,15.899999999999999,0.5092592592592592,0.6883116883116883
19,3.2,0.7,3.5,74.3,7.1,2,5,2,5,2,22.72,3.5,16.0,0.6893203883495145,0.8205128205128205
20,5.7,2.1,2.4,85.8,5.6,1,3,2,4,3,31.919999999999998,8.4,22.8,0.495575221238938,0.7307692307692307
24,3.7,3.6,3.3,80.2,7.7,2,5,0,2,2,28.490000000000002,7.2,7.4,0.6754385964912281,0.5068493150684932
22,3.0,3.2,0.3,100.0,5.0,2,3,2,7,2,15.0,22.400000000000002,21.0,0.625,0.48387096774193544
19,2.6,3.1,0.3,84.6,7.1,2,6,1,5,2,18.46,15.5,13.0,0.731958762886598,0.45614035087719296
19,3.0,2.6,1.6,71.0,5.5,1,0,1,7,1,16.5,18.2,21.0,0.6470588235294118,0.5357142857142857
17,2.9,2.5,2.4,83.7,6.3,0,5,2,9,2,18.27,22.5,26.099999999999998,0.6847826086956522,0.537037037037037
19,3.8,1.7,3.8,90.2,5.3,2,2,1,4,1,20.139999999999997,6.8,15.2,0.5824175824175825,0.6909090909090909
21,3.7,3.3,2.6,100.0,7.5,1,5,2,5,2,27.75,16.5,18.5,0.6696428571428572,0.5285714285714286
23,3.5,3.0,1.5,79.1,5.5,2,0,1,9,2,19.25,27.0,31.5,0.6111111111111112,0.5384615384615384
22,4.2,3.1,0.7,69.2,7.2,2,1,0,10,2,30.240000000000002,31.0,42.0,0.631578947368421,0.5753424657534246
19,5.3,1.9,3.2,93.2,6.1,1,1,1,4,3,32.33,7.6,21.2,0.5350877192982456,0.7361111111111112
17,4.9,0.0,0.7,71.2,6.4,1,5,0,5,3,31.360000000000003,0.0,24.5,0.5663716814159292,1.0
21,1.3,3.8,3.6,80.6,6.7,1,5,2,5,1,8.71,19.0,6.5,0.8375,0.25490196078431376
18,0.0,1.9,1.5,82.4,5.6,1,3,1,8,1,0.0,15.2,0.0,1.0,0.0
23,4.9,1.5,3.5,84.3,6.8,1,0,1,4,2,33.32,6.0,19.6,0.5811965811965812,0.765625
23,1.4,3.3,2.5,91.9,8.3,1,3,0,4,1,11.620000000000001,13.2,5.6,0.8556701030927835,0.29787234042553196
22,3.2,2.0,1.6,78.2,5.6,1,2,1,7,2,17.919999999999998,14.0,22.400000000000002,0.6363636363636362,0.6153846153846154
23,1.7,3.8,1.2,82.3,7.9,0,6,2,5,1,13.43,19.0,8.5,0.8229166666666667,0.3090909090909091
19,0.8,3.2,1.4,84.9,8.3,2,1,1,6,1,6.640000000000001,19.200000000000003,4.800000000000001,0.9120879120879121,0.2
17,4.3,3.3,2.3,86.5,5.5,0,4,2,6,2,23.65,19.799999999999997,25.799999999999997,0.5612244897959183,0.5657894736842105
23,4.6,0.9,1.9,86.0,4.8,2,4,2,6,3,22.08,5.4,27.599999999999998,0.5106382978723405,0.8363636363636363
23,2.6,4.0,1.1,89.4,6.9,2,0,2,10,2,17.94,40.0,26.0,0.7263157894736842,0.393939393939394
